a,b,result
99,81,109
93,60,43
101,80,57
8,36,62
26,98,62
34,22,70
60,76,40
110,10,83
110,55,61
1,26,26
95,72,60
6,34,91
47,21,83
3,24,72
31,55,10
80,57,40
61,3,70
17,85,89
76,107,109
21,104,37
57,3,58
26,3,78
80,36,55
62,95,14
20,108,13
100,46,80
10,68,2
58,47,14
25,59,6
89,55,36
48,104,20
14,54,78
72,74,17
27,26,24
107,38,111
77,97,11
19,79,32
71,74,56
107,60,92
12,44,76
84,100,38
74,103,51
72,16,22
80,80,72
69,35,42
39,84,112
75,61,55
1,97,97
86,85,78
32,52,82
13,98,31
100,43,6
38,29,85
92,59,4
83,87,102
34,15,58
68,17,26
6,42,26
12,93,99
23,13,73
71,65,95
95,20,92
84,7,23
56,88,69
85,48,12
91,34,43
61,15,11
63,18,4
99,31,18
97,100,95
22,29,73
82,73,110
72,39,96
64,17,71
4,97,49
2,18,36
82,54,21
2,71,29
38,36,12
18,20,21
52,19,84
107,57,110
73,73,18
43,49,73
65,22,74
68,76,83
103,46,105
39,4,43
4,100,61
57,104,52
5,39,82
54,92,109
84,90,102
7,89,58
40,41,58
84,11,20
95,21,74
95,26,97
74,111,78
79,75,49
108,82,42
65,75,16
108,93,100
93,46,97
3,32,96
63,110,37
43,48,30
39,19,63
42,50,66
108,85,27
11,9,99
97,51,88
54,58,81
45,108,1
62,57,31
100,29,75
89,78,49
45,31,39
4,52,95
93,109,80
28,48,101
85,96,24
61,42,76
54,106,74
92,77,78
69,21,93
110,102,33
60,50,62
42,108,16
76,98,103
88,68,108
91,11,97
37,27,95
36,90,76
15,88,77
40,81,76
52,84,74
1,35,35
30,94,108
112,91,22
30,54,38
58,108,49
58,105,101
13,67,80
46,102,59
82,44,105
41,46,78
89,109,96
54,11,29
54,25,107
24,94,109
39,11,90
58,97,89
84,26,37
2,51,102
61,47,42
55,19,28
81,53,112
27,10,44
12,103,106
34,47,16
34,7,12
30,8,14
91,28,62
3,99,71
30,57,15
34,92,77
19,13,21
19,81,70
102,69,32
30,105,99
55,112,58
0,78,0
104,95,49
65,90,87
33,26,67
109,64,83
24,106,58
62,67,86
102,36,56
83,35,80
18,73,71
9,94,55
78,49,93
44,85,11
24,25,35
28,44,102
22,86,84
2,6,12
0,24,0
28,43,74
19,48,8
84,37,57
3,86,32
25,93,65
40,83,43
74,35,104
85,59,43
45,57,79
26,100,1
61,100,111
24,49,46
8,90,42
110,70,16
44,69,98
23,34,104
13,14,69
100,24,27
56,3,55
56,50,88
44,87,99
111,10,93
105,35,59
97,3,65
49,24,46
109,88,100
52,13,111
88,58,19
64,52,51
59,91,58
90,71,62
96,51,37
42,16,107
16,101,34
89,105,79
5,112,108
34,96,100
30,86,94
111,32,49
112,56,57
59,20,50
109,89,96
18,53,50
30,88,41
46,21,62
7,7,49
15,104,91
9,15,22
46,60,48
48,27,53
1,27,27
111,71,84
0,102,0
91,51,8
40,69,48
110,12,77
72,4,62
35,24,49
41,81,44
95,108,90
14,52,50
64,90,110
12,71,61
20,95,92
66,15,86
18,63,4
72,75,89
76,60,40
32,88,104
36,80,55
68,107,44
98,31,100
48,54,106
49,58,17
58,83,68
38,43,52
64,89,46
65,108,14
37,26,58
81,31,25
14,76,47
71,101,52
24,17,69
8,99,1
21,88,40
21,58,88
10,11,110
22,112,91
61,0,0
83,14,32
54,4,103
97,36,102
9,31,53
78,61,12
68,36,75
7,1,7
106,57,53
31,104,60
13,35,3
70,74,95
26,49,31
74,29,112
109,19,37
6,26,43
75,59,18
87,49,82
60,62,104
78,71,1
101,66,112
40,18,42
18,71,35
24,55,77
20,85,5
97,104,31
111,109,8
36,58,54
69,47,79
73,110,7
59,74,72
102,109,44
17,40,2
7,95,100
86,104,17
18,46,37
75,48,97
64,106,4
50,87,56
102,112,11
27,42,4
58,100,37
65,7,3
86,63,107
51,24,94
48,79,63
32,87,72
72,10,42
88,45,5
38,69,23
101,62,47
92,11,108
67,50,73
50,15,72
31,64,63
104,62,7
32,16,60
73,4,66
68,34,52
104,77,98
39,57,76
64,25,18
2,3,6
50,76,71
22,2,44
52,94,29
19,85,33
83,103,74
36,107,10
57,21,67
18,4,72
30,61,22
71,3,100
70,16,103
16,7,112
48,63,86
76,75,50
50,43,3
66,14,20
47,95,58
30,87,11
82,63,81
74,110,4
65,65,44
86,39,77
111,62,102
1,98,98
33,109,94
8,2,16
90,64,110
57,49,81
5,10,50
17,36,47
82,57,41
79,51,74
13,22,60
18,22,57
15,59,94
112,37,76
57,88,44
17,82,38
81,5,66
37,46,7
40,102,12
46,39,99
25,83,41
11,12,19
13,13,56
107,26,70
28,112,85
104,106,63
44,13,7
87,79,93
40,7,54
55,49,96
0,22,0
66,54,61
57,99,106
101,3,77
59,92,4
56,72,77
85,83,49
56,76,75
31,111,51
66,17,105
28,38,47
41,15,50
83,71,17
17,46,104
83,97,28
6,99,29
15,27,66
20,39,102
100,33,23
15,41,50
8,51,69
11,86,42
38,34,49
10,25,24
42,66,60
105,25,26
15,6,90
20,42,49
69,101,76
45,59,56
51,81,63
17,52,93
5,68,1
10,91,6
25,42,33
36,6,103
105,86,103
87,50,56
89,38,105
73,103,61
16,5,80
5,105,73
97,29,101
61,85,100
21,30,65
105,24,34
89,46,26
83,111,60
105,6,65
74,57,37
90,97,29
67,106,96
5,33,52
60,104,25
104,104,81
40,88,17
43,70,72
84,92,44
38,90,30
49,88,18
75,102,79
55,68,11
6,82,40
107,35,16
39,66,88
85,105,111
63,56,25
17,104,73
27,0,0
66,58,99
28,62,41
37,16,27
77,28,9
91,66,17
93,30,78
97,107,96
34,75,64
74,74,52
102,22,97
8,22,63
24,99,3
71,91,20
72,83,100
92,16,3
97,41,22
94,91,79
61,108,34
17,39,98
97,44,87
40,74,22
2,103,93
79,92,36
14,80,103
21,65,9
18,40,42
79,30,110
62,5,84
74,10,62
36,84,86
71,70,111
56,95,9
3,89,41
59,16,40
79,4,90
54,41,67
51,32,50
68,37,30
106,102,77
96,41,94
8,42,110
100,55,76
3,98,68
58,102,40
81,64,99
14,88,102
50,10,48
51,21,54
32,74,108
22,62,8
104,14,100
16,58,24
60,74,33
51,86,92
84,28,92
95,80,29
88,61,57
41,80,3
58,90,22
86,106,76
96,53,3
49,64,85
55,20,83
21,35,57
18,60,63
86,0,0
71,102,10
29,66,106
100,45,93
76,77,89
39,38,13
90,57,45
67,56,23
112,28,85
5,79,56
106,0,0
21,5,105
48,38,16
81,57,97
82,34,76
99,84,67
97,61,41
96,39,15
40,12,28
38,6,2
66,100,46
60,15,109
82,32,25
35,48,98
60,60,97
110,60,46
58,8,12
73,44,48
19,61,29
32,85,8
7,93,86
64,67,107
8,111,97
61,7,88
77,62,28
10,23,4
90,112,23
9,43,48
52,81,31
78,99,38
87,90,33
25,36,109
68,54,56
74,93,102
57,90,45
2,62,11
12,62,66
27,102,42
82,61,30
49,7,4
6,77,10
20,106,86
72,50,97
109,68,67
23,31,35
57,48,24
6,16,96
60,25,31
2,16,32
110,100,39
54,20,63
91,3,47
112,40,73
30,91,18
1,46,46
1,16,16
51,43,46
90,56,68
76,12,8
100,39,58
89,67,87
74,54,41
32,30,56
5,100,48
96,4,45
9,98,91
30,49,1
111,70,86
44,36,2
37,42,85
19,97,35
3,68,91
59,73,13
36,36,53
96,57,48
24,80,112
16,65,23
82,21,27
0,82,0
93,110,60
107,84,61
77,64,69
25,94,90
106,92,34
63,49,36
44,99,62
14,68,48
63,55,75
67,98,12
21,33,15
10,72,42
23,44,108
36,54,23
96,80,109
87,54,65
60,99,64
9,88,1
95,98,44
63,20,17
62,25,81
4,11,44
41,11,112
10,53,78
10,18,67
12,100,70
47,39,25
29,20,15
16,14,111
88,64,95
35,43,36
24,71,9
79,112,34
15,53,4
98,104,22
12,57,6
94,69,45
106,21,79
73,66,72
70,40,88
47,19,102
43,20,69
52,95,81
53,51,104
96,85,24
27,52,48
58,65,41
12,45,88
58,69,47
36,40,84
83,75,10
80,16,37
57,26,13
42,59,105
99,40,5
78,77,17
25,14,11
104,25,1
83,58,68
91,45,27
84,46,22
12,98,46
65,62,75
35,37,52
97,6,17
23,32,58
6,14,84
111,60,106
106,62,18
37,55,1
10,106,43
27,56,43
16,22,13
38,102,34
6,45,44
109,101,48
108,90,2
66,91,17
45,90,95
31,1,31
95,27,79
104,44,56
28,17,24
76,5,41
45,92,72
61,69,28
76,46,106
14,112,99
55,67,69
33,76,22
89,33,112
37,57,75
70,102,21
12,23,50
94,45,49
87,77,32
22,19,79
95,51,99
94,22,34
42,46,11
99,54,35
107,70,32
23,76,53
69,66,34
10,4,40
93,58,83
71,59,8
48,56,89
40,98,78
29,50,94
102,75,79
80,58,7
92,37,14
71,53,34
111,92,42
83,77,63
55,42,50
25,74,42
76,13,84
4,16,64
68,92,41
28,84,92
26,103,79
48,16,90
17,31,75
83,72,100
40,94,31
24,8,79
22,111,69
79,42,41
83,94,5
42,82,54
31,38,48
87,2,61
33,2,66
100,100,56
17,45,87
73,43,88
17,4,68
2,92,71
9,34,80
19,60,10
105,52,36
103,29,49
93,59,63
45,80,97
33,24,1
104,88,112
6,28,55
11,79,78
41,33,110
53,95,63
53,79,6
51,20,3
89,39,81
58,75,56
85,99,53
70,33,50
98,88,36
6,36,103
77,13,97
28,8,111
19,65,105
10,75,72
64,102,87
33,90,32
71,37,28
100,0,0
61,33,92
23,92,82
51,12,47
13,78,110
104,42,74
40,71,15
66,39,88
66,44,79
96,65,25
64,108,19
6,5,30
102,38,34
91,23,59
70,82,90
99,39,19
82,48,94
71,68,82
15,42,65
9,71,74
67,109,71
70,76,9
78,25,29
56,107,3
94,94,22
72,101,40
24,77,40
64,39,10
100,73,68
20,65,57
93,8,66
75,104,3
66,108,9
44,61,85
51,103,55
99,18,87
67,46,31
85,98,81
106,40,59
33,31,6
25,10,24
88,17,27
104,13,109
89,26,54
94,80,62
47,65,4
31,70,23
29,48,36
91,60,36
94,112,19
26,7,69
105,0,0
31,39,79
47,27,26
78,67,28
112,11,102
66,1,66
66,24,2
88,107,37
91,4,25
110,15,68
45,40,105
76,108,72
2,64,15
82,97,44
0,75,0
56,112,57
69,71,40
70,100,107
74,104,12
32,66,78
103,40,52
36,110,5
56,16,105
80,55,106
29,87,37
37,45,83
13,49,72
65,51,38
12,12,31
9,76,6
78,9,24
69,10,12
52,88,56
5,50,24
97,103,47
72,96,19
46,44,103
83,29,34
9,97,82
92,73,49
40,20,9
90,77,37
51,82,1
1,60,60
72,107,20
75,105,78
22,72,2
15,72,63
31,49,50
68,20,4
44,73,48
2,37,74
30,75,103
20,73,104
74,63,29
69,59,3
107,87,43
0,10,0
33,40,77
23,86,57
17,73,111
61,9,97
93,71,49
16,53,57
109,12,65
110,29,26
67,26,47
50,53,51
76,9,6
37,40,11
93,69,89
23,81,55
91,32,87
50,72,97
7,39,47
3,39,4
50,84,19
29,67,22
59,33,26
103,105,80
103,4,73
10,40,61
72,6,93
46,110,88
94,7,93
8,87,18
16,62,88
84,53,45
52,22,14
1,80,80
47,47,62
110,84,87
32,22,26
40,84,83
67,78,28
93,39,11
31,83,87
85,76,19
58,57,29
46,89,26
2,23,46
1,56,56
36,102,56
68,53,101
49,4,83
35,90,99
55,47,99
82,103,84
78,59,82
22,83,18
83,100,51
86,3,32
81,43,93
53,78,66
33,0,0
103,96,57
16,88,52
98,10,76
29,93,98
93,35,91
49,27,80
77,110,108
58,76,1
68,99,65
57,67,90
46,53,65
64,3,79
7,36,26
47,71,60
111,23,67
47,69,79
99,63,22
90,5,111
47,56,33
9,38,3
92,68,41
56,56,85
34,52,73
8,66,76
18,102,28
51,45,35
1,2,2
41,19,101
68,9,47
95,30,25
13,107,35
60,111,106
43,107,81
61,83,91
104,37,6
51,6,80
105,75,78
66,18,58
46,70,56
42,56,92
23,18,75
63,13,28
48,68,100
61,64,62
58,15,79
27,24,83
10,52,68
37,89,16
34,2,68
109,22,25
63,73,79
17,78,83
34,72,75
5,97,33
25,48,70
18,90,38
99,57,106
53,67,48
46,61,94
14,25,11
52,100,2
75,85,47
111,107,12
42,19,7
66,68,81
95,43,17
7,10,70
40,95,71
36,61,49
14,44,51
75,112,38
94,78,100
105,95,31
103,5,63
65,82,19
67,76,7
81,65,67
85,80,20
76,10,82
88,30,41
3,27,81
57,97,105
53,94,10
76,106,33
27,55,16
51,51,2
17,111,79
33,7,5
77,100,16
109,46,42
32,54,33
96,75,81
27,7,76
16,23,29
33,89,112
10,45,111
24,72,33
106,78,19
13,94,92
89,110,72
72,28,95
56,75,19
27,109,5
63,23,93
16,26,77
41,5,92
81,10,19
49,110,79
64,68,58
51,76,34
52,27,48
23,109,21
70,3,97
57,47,80
3,109,101
33,10,104
2,70,27
105,93,47
93,86,88
25,41,8
102,106,77
7,18,13
50,100,28
46,95,76
101,54,30
110,32,17
73,96,2
84,58,13
96,23,61
67,25,93
99,70,37
5,89,106
108,16,33
87,18,97
19,70,87
65,96,25
73,35,69
87,29,37
39,77,65
59,34,85
47,23,64
78,105,54
6,100,35
96,67,104
20,23,8
87,72,49
55,109,6
96,72,19
80,44,17
3,46,25
42,28,46
58,50,75
50,48,27
59,97,73
50,9,111
87,110,78
90,19,15
104,85,26
66,5,104
4,5,20
30,83,4
73,74,91
68,64,58
108,100,65
22,76,90
109,102,44
31,101,80
64,1,64
26,97,36
29,74,112
94,8,74
14,90,17
79,6,22
103,14,86
31,96,38
105,110,24
30,109,106
61,28,13
27,32,73
104,19,55
15,65,71
50,58,75
59,58,32
9,77,15
77,21,35
90,94,98
102,51,4
111,99,28
84,94,99
83,49,112
37,14,66
89,48,91
109,38,74
33,18,29
66,72,6
82,15,100
5,103,63
36,15,88
49,51,13
55,46,44
48,92,9
69,31,105
26,75,29
50,62,49
47,25,45
104,48,20
76,89,97
55,18,86
107,92,13
98,36,25
54,26,48
26,40,23
60,97,57
36,35,17
32,15,28
15,67,101
17,34,13
31,78,45
12,22,38
93,26,45
100,108,65
9,2,18
2,35,70
89,5,106
94,58,28
109,67,71
10,41,71
101,69,76
51,104,106
43,77,34
112,71,42
85,82,77
28,35,76
22,33,48
92,6,100
58,110,52
73,83,70
15,93,39
38,35,87
49,26,31
25,16,61
105,7,57
62,47,89
97,64,106
68,97,42
95,29,43
66,32,78
98,102,52
42,83,96
61,10,45
5,101,53
18,23,75
56,45,34
79,58,62
11,54,29
20,78,91
90,102,27
11,63,15
79,107,91
100,37,84
20,28,108
91,76,23
104,52,97
8,69,100
73,1,73
12,49,23
85,66,73
36,59,90
16,36,11
26,66,21
92,101,26
51,59,71
101,89,62
9,69,56
28,63,69
73,65,112
75,64,54
98,48,71
111,8,97
107,12,41
47,18,55
44,101,37
48,48,44
1,92,92
14,69,62
94,82,24
59,43,51
34,73,109
11,7,77
93,93,61
7,25,62
96,73,2
107,28,58
91,72,111
99,50,91
89,56,12
12,40,28
6,81,34
103,80,104
88,69,83
92,69,20
111,72,82
13,81,36
23,41,39
22,84,40
54,104,79
104,1,104
37,22,23
23,21,31
40,31,110
87,45,73
99,88,11
105,57,109
89,60,29
105,107,48
22,67,5
55,44,47
54,72,46
88,70,58
0,14,0
100,8,9
18,31,106
92,38,106
95,8,82
53,58,23
70,105,5
69,20,24
30,72,13
16,27,93
35,2,70
10,69,12
69,99,51
6,22,19
25,40,96
5,1,5
48,43,30
47,30,54
75,88,46
110,36,5
17,14,12
3,1,3
49,1,49
54,5,44
28,1,28
60,4,14
51,72,56
39,20,102
59,106,39
108,53,74
75,16,70
103,60,78
35,4,27
50,79,108
59,99,78
19,1,19
28,4,112
33,92,98
15,77,25
84,38,28
8,18,31
81,77,22
111,103,20
28,53,15
99,36,61
3,66,85
99,58,92
79,9,33
85,75,47
91,98,104
76,39,26
92,108,105
83,41,13
65,38,97
88,101,74
11,97,50
106,5,78
51,96,37
44,1,44
20,50,96
99,89,110
46,50,40
83,81,56
0,3,0
21,105,58
14,89,3
26,51,83
0,13,0
97,77,11
33,37,91
24,14,110
21,22,10
75,3,112
82,91,4
24,2,48
31,61,83
25,49,95
40,103,52
32,61,31
67,19,30
94,9,55
30,41,100
107,36,10
93,76,62
15,85,32
13,21,47
92,100,47
19,90,15
100,106,91
44,46,103
106,32,2
45,110,91
108,6,83
9,74,101
103,74,51
28,57,14
56,71,21
75,71,14
97,68,42
105,32,83
103,35,102
7,75,73
49,74,10
44,107,75
9,44,57
26,101,27
109,44,50
45,51,35
7,23,48
73,24,57
46,2,92
85,19,33
25,62,81
86,100,12
36,56,95
94,103,77
2,104,95
82,0,0
74,70,95
25,11,49
100,72,81
33,38,11
100,1,100
2,75,37
12,38,4
28,24,107
38,54,18
97,105,15
40,90,97
30,33,86
34,38,49
104,83,44
102,15,61
78,28,37
12,91,75
47,79,97
53,8,85
14,83,32
0,70,0
8,74,27
17,93,112
46,58,69
63,54,12
99,99,83
38,50,92
11,90,86
65,107,62
12,70,49
72,42,86
106,95,13
11,57,62
38,67,60
83,93,35
104,66,84
29,86,8
27,50,107
92,107,13
13,110,74
76,111,74
91,105,63
37,15,103
3,58,61
67,6,63
52,109,18
82,72,28
27,41,90
84,97,12
103,76,31
59,110,49
91,48,74
102,89,38
43,7,75
42,33,30
8,98,106
70,80,63
30,31,26
13,51,98
46,7,96
78,40,69
76,55,112
73,8,19
31,40,110
81,50,95
13,26,112
46,14,79
15,69,18
109,36,82
23,99,17
95,5,23
104,3,86
2,90,67
96,88,86
29,79,31
42,110,100
67,55,69
6,4,24
1,34,34
8,80,75
29,42,88
49,52,62
88,23,103
49,62,100
29,60,45
42,1,42
30,39,40
6,101,41
4,74,70
52,75,58
13,19,21
20,97,19
2,86,59
108,59,44
67,3,88
5,49,19
76,8,43
78,110,105
102,108,55
1,57,57
36,75,101
82,60,61
78,22,21
62,86,21
23,20,8
56,51,31
103,110,30
82,30,87
65,49,21
81,28,8
89,100,86
103,73,61
42,103,32
9,17,40
32,82,25
18,75,107
102,23,86
89,54,60
33,86,13
89,99,110
85,22,62
65,15,71
8,81,83
110,106,21
109,105,32
58,17,82
3,73,106
11,58,73
59,40,100
69,83,77
19,78,13
112,87,26
79,95,47
31,13,64
3,22,66
7,77,87
26,79,20
32,102,100
65,30,29
77,72,7
67,52,94
8,52,77
13,15,82
104,6,59
91,1,91
77,52,49
91,20,12
112,14,99
89,64,46
31,76,96
47,22,17
20,83,78
93,54,50
91,24,37
68,10,2
59,48,7
18,2,36
99,53,49
61,56,26
88,89,35
61,109,95
3,55,52
97,91,13
97,109,64
8,102,25
56,77,18
82,40,3
42,75,99
84,33,60
111,88,50
55,53,90
5,93,13
38,65,97
30,92,48
33,55,7
86,27,62
4,3,12
46,57,23
83,22,18
73,105,94
90,91,54
18,17,80
12,5,60
18,48,73
54,56,86
85,52,13
88,50,106
18,96,33
20,22,101
56,63,25
56,96,65
13,31,64
98,64,57
82,88,97
30,69,36
13,68,93
76,91,23
108,29,81
25,69,30
19,32,43
21,59,109
34,83,110
33,106,108
78,73,44
29,45,62
19,52,84
43,78,77
40,36,84
23,14,96
81,89,90
61,101,59
48,44,78
52,96,20
93,3,53
17,16,46
34,91,43
10,94,36
79,34,87
72,79,38
4,35,27
64,63,77
88,94,23
3,79,11
20,55,83
69,23,5
80,52,92
5,42,97
9,4,36
6,89,82
74,26,3
22,12,38
62,4,22
58,54,81
46,31,70
63,6,39
31,36,99
85,18,61
18,111,77
46,54,111
39,9,12
38,22,45
73,89,56
23,33,81
56,32,97
71,16,6
46,99,34
59,62,42
17,53,110
42,65,18
106,112,7
12,4,48
4,92,29
32,55,65
52,69,85
3,49,34
9,14,13
97,21,3
50,27,107
56,85,14
70,50,110
87,109,104
42,22,20
43,22,42
88,86,110
51,64,100
98,34,55
2,44,88
81,41,44
61,21,38
24,111,65
14,12,55
89,4,17
23,77,76
90,40,97
0,61,0
68,59,57
94,23,15
92,47,30
90,60,89
28,5,27
8,47,37
38,110,112
72,21,43
14,36,52
24,112,89
81,29,89
101,16,34
67,72,78
50,49,77
38,5,77
29,0,0
53,83,105
78,90,14
36,94,107
3,56,55
57,35,74
90,95,75
30,13,51
81,111,64
97,10,66
98,66,27
26,87,2
49,49,28
3,35,105
91,46,5
58,73,53
45,14,65
91,82,4
100,88,99
54,84,16
48,51,75
0,19,0
74,45,53
16,10,47
52,97,72
75,74,13
77,83,63
83,5,76
23,23,77
98,4,53
1,28,28
110,47,85
6,50,74
24,48,22
15,109,53
68,22,27
81,82,88
87,15,62
56,8,109
33,30,86
42,45,82
105,111,16
36,92,35
48,41,47
79,26,20
75,28,66
105,45,92
48,5,14
40,104,92
34,35,60
45,73,8
90,0,0
51,77,85
2,112,111
2,53,106
58,20,30
102,20,6
72,82,28
11,96,39
108,60,39
42,24,104
76,32,59
23,3,69
62,59,42
99,8,1
102,11,105
55,3,52
88,111,50
43,40,25
53,99,49
34,43,106
73,10,52
105,23,42
37,80,22
57,38,19
7,58,67
52,38,55
33,80,41
71,112,42
112,103,10
82,7,9
102,28,31
46,100,80
89,58,77
30,23,12
92,66,83
70,69,84
101,91,38
66,47,51
86,54,11
81,80,39
40,11,101
56,44,91
25,63,106
105,89,79
105,28,2
23,36,37
74,14,19
13,106,22
16,67,55
52,99,63
104,61,16
80,31,107
74,60,33
76,97,27
51,89,19
86,57,43
30,21,65
61,73,46
30,15,111
44,84,80
1,47,47
107,56,3
92,2,71
61,95,32
11,104,14
105,3,89
89,36,40
55,64,17
52,34,73
107,64,68
64,111,98
45,79,52
93,57,103
9,111,95
54,88,6
59,32,80
52,12,59
11,28,82
89,31,47
24,97,68
88,35,29
26,71,38
109,26,9
71,87,75
67,73,32
64,30,112
2,55,110
53,48,58
90,51,70
19,50,46
77,104,98
35,76,61
63,108,24
20,49,76
106,42,45
35,98,40
57,22,11
0,45,0
18,89,20
46,22,108
108,14,43
99,55,21
80,111,66
95,106,13
22,65,74
23,6,25
49,28,16
28,6,55
58,85,71
101,84,9
22,1,22
6,86,64
63,29,19
99,102,41
76,18,12
108,4,93
51,52,53
79,21,77
103,84,64
3,42,13
44,53,72
53,64,2
100,16,18
70,38,61
73,47,41
111,78,70
97,74,59
19,42,7
93,48,57
86,30,94
7,45,89
13,92,66
14,19,40
11,109,69
32,107,34
41,83,13
1,18,18
25,106,51
40,4,47
36,49,69
60,21,17
104,68,66
27,45,85
98,63,72
64,100,72
39,30,40
12,96,22
74,76,87
53,36,100
63,37,71
77,2,41
5,4,20
13,65,54
70,51,67
70,8,108
77,9,15
92,102,5
104,24,10
96,62,76
105,78,54
66,66,62
42,80,83
80,50,45
79,100,103
96,35,83
16,111,81
95,45,94
57,55,84
20,107,106
88,90,10
7,68,24
8,25,87
79,52,40
34,53,107
35,9,89
92,62,54
