a,b,result
5,57,59
5,58,64
5,59,69
5,60,74
5,61,79
5,62,84
5,63,89
5,64,94
5,65,99
5,66,104
5,67,109
5,68,1
5,69,6
5,70,11
5,71,16
5,72,21
5,73,26
5,74,31
5,75,36
5,76,41
5,77,46
5,78,51
5,79,56
5,80,61
5,81,66
5,82,71
5,83,76
5,84,81
5,85,86
5,86,91
5,87,96
5,88,101
5,89,106
5,90,111
5,91,3
5,92,8
5,93,13
5,94,18
5,95,23
5,96,28
5,97,33
5,98,38
5,99,43
5,100,48
5,101,53
5,102,58
5,103,63
5,104,68
5,105,73
5,106,78
5,107,83
5,108,88
5,109,93
5,110,98
5,111,103
5,112,108
6,0,0
6,1,6
6,2,12
6,3,18
6,4,24
6,5,30
6,6,36
6,7,42
6,8,48
6,9,54
6,10,60
6,11,66
6,12,72
6,13,78
6,14,84
6,15,90
6,16,96
6,17,102
6,18,108
6,19,1
6,20,7
6,21,13
6,22,19
6,23,25
6,24,31
6,25,37
6,26,43
6,27,49
6,28,55
6,29,61
6,30,67
6,31,73
6,32,79
6,33,85
6,34,91
6,35,97
6,36,103
6,37,109
6,38,2
6,39,8
6,40,14
6,41,20
6,42,26
6,43,32
6,44,38
6,45,44
6,46,50
6,47,56
6,48,62
6,49,68
6,50,74
6,51,80
6,52,86
6,53,92
6,54,98
6,55,104
6,56,110
6,57,3
6,58,9
6,59,15
6,60,21
6,61,27
6,62,33
6,63,39
6,64,45
6,65,51
6,66,57
6,67,63
6,68,69
6,69,75
6,70,81
6,71,87
6,72,93
6,73,99
6,74,105
6,75,111
6,76,4
6,77,10
6,78,16
6,79,22
6,80,28
6,81,34
6,82,40
6,83,46
6,84,52
6,85,58
6,86,64
6,87,70
6,88,76
6,89,82
6,90,88
6,91,94
6,92,100
6,93,106
6,94,112
6,95,5
6,96,11
6,97,17
6,98,23
6,99,29
6,100,35
6,101,41
6,102,47
6,103,53
6,104,59
6,105,65
6,106,71
6,107,77
6,108,83
6,109,89
6,110,95
6,111,101
6,112,107
7,0,0
7,1,7
7,2,14
7,3,21
7,4,28
7,5,35
7,6,42
7,7,49
7,8,56
7,9,63
7,10,70
7,11,77
7,12,84
7,13,91
7,14,98
7,15,105
7,16,112
7,17,6
7,18,13
7,19,20
7,20,27
7,21,34
7,22,41
7,23,48
7,24,55
7,25,62
7,26,69
7,27,76
7,28,83
7,29,90
7,30,97
7,31,104
7,32,111
7,33,5
7,34,12
7,35,19
7,36,26
7,37,33
7,38,40
7,39,47
7,40,54
7,41,61
7,42,68
7,43,75
7,44,82
7,45,89
7,46,96
7,47,103
7,48,110
7,49,4
7,50,11
7,51,18
7,52,25
7,53,32
7,54,39
7,55,46
7,56,53
7,57,60
7,58,67
7,59,74
7,60,81
7,61,88
7,62,95
7,63,102
7,64,109
7,65,3
7,66,10
7,67,17
7,68,24
7,69,31
7,70,38
7,71,45
7,72,52
7,73,59
7,74,66
7,75,73
7,76,80
7,77,87
7,78,94
7,79,101
7,80,108
7,81,2
7,82,9
7,83,16
7,84,23
7,85,30
7,86,37
7,87,44
7,88,51
7,89,58
7,90,65
7,91,72
7,92,79
7,93,86
7,94,93
7,95,100
7,96,107
7,97,1
7,98,8
7,99,15
7,100,22
7,101,29
7,102,36
7,103,43
7,104,50
7,105,57
7,106,64
7,107,71
7,108,78
7,109,85
7,110,92
7,111,99
7,112,106
8,0,0
8,1,8
8,2,16
8,3,24
8,4,32
8,5,40
8,6,48
8,7,56
8,8,64
8,9,72
8,10,80
8,11,88
8,12,96
8,13,104
8,14,112
8,15,7
8,16,15
8,17,23
8,18,31
8,19,39
8,20,47
8,21,55
8,22,63
8,23,71
8,24,79
8,25,87
8,26,95
8,27,103
8,28,111
8,29,6
8,30,14
8,31,22
8,32,30
8,33,38
8,34,46
8,35,54
8,36,62
8,37,70
8,38,78
8,39,86
8,40,94
8,41,102
8,42,110
8,43,5
8,44,13
8,45,21
8,46,29
8,47,37
8,48,45
8,49,53
8,50,61
8,51,69
8,52,77
8,53,85
8,54,93
8,55,101
8,56,109
8,57,4
8,58,12
8,59,20
8,60,28
8,61,36
8,62,44
8,63,52
8,64,60
8,65,68
8,66,76
8,67,84
8,68,92
8,69,100
8,70,108
8,71,3
8,72,11
8,73,19
8,74,27
8,75,35
8,76,43
8,77,51
8,78,59
8,79,67
8,80,75
8,81,83
8,82,91
8,83,99
8,84,107
8,85,2
8,86,10
8,87,18
8,88,26
8,89,34
8,90,42
8,91,50
8,92,58
8,93,66
8,94,74
8,95,82
8,96,90
8,97,98
8,98,106
8,99,1
8,100,9
8,101,17
8,102,25
8,103,33
8,104,41
8,105,49
8,106,57
8,107,65
8,108,73
8,109,81
8,110,89
8,111,97
8,112,105
9,0,0
9,1,9
9,2,18
9,3,27
9,4,36
9,5,45
9,6,54
9,7,63
9,8,72
9,9,81
9,10,90
9,11,99
9,12,108
9,13,4
9,14,13
9,15,22
9,16,31
9,17,40
9,18,49
9,19,58
9,20,67
9,21,76
9,22,85
9,23,94
9,24,103
9,25,112
9,26,8
9,27,17
9,28,26
9,29,35
9,30,44
9,31,53
9,32,62
9,33,71
9,34,80
9,35,89
9,36,98
9,37,107
9,38,3
9,39,12
9,40,21
9,41,30
9,42,39
9,43,48
9,44,57
9,45,66
9,46,75
9,47,84
9,48,93
9,49,102
9,50,111
9,51,7
9,52,16
9,53,25
9,54,34
9,55,43
9,56,52
9,57,61
9,58,70
9,59,79
9,60,88
9,61,97
9,62,106
9,63,2
9,64,11
9,65,20
9,66,29
9,67,38
9,68,47
9,69,56
9,70,65
9,71,74
9,72,83
9,73,92
9,74,101
9,75,110
9,76,6
9,77,15
9,78,24
9,79,33
9,80,42
9,81,51
9,82,60
9,83,69
9,84,78
9,85,87
9,86,96
9,87,105
9,88,1
9,89,10
9,90,19
9,91,28
9,92,37
9,93,46
9,94,55
9,95,64
9,96,73
9,97,82
9,98,91
9,99,100
9,100,109
9,101,5
9,102,14
9,103,23
9,104,32
9,105,41
9,106,50
9,107,59
9,108,68
9,109,77
9,110,86
9,111,95
9,112,104
10,0,0
10,1,10
10,2,20
10,3,30
10,4,40
10,5,50
10,6,60
10,7,70
10,8,80
10,9,90
10,10,100
10,11,110
10,12,7
10,13,17
10,14,27
10,15,37
10,16,47
10,17,57
10,18,67
10,19,77
10,20,87
10,21,97
10,22,107
10,23,4
10,24,14
10,25,24
10,26,34
10,27,44
10,28,54
10,29,64
10,30,74
10,31,84
10,32,94
10,33,104
10,34,1
10,35,11
10,36,21
10,37,31
10,38,41
10,39,51
10,40,61
10,41,71
10,42,81
10,43,91
10,44,101
10,45,111
10,46,8
10,47,18
10,48,28
10,49,38
10,50,48
10,51,58
10,52,68
10,53,78
10,54,88
10,55,98
10,56,108
10,57,5
10,58,15
10,59,25
10,60,35
10,61,45
10,62,55
10,63,65
10,64,75
10,65,85
10,66,95
10,67,105
10,68,2
10,69,12
10,70,22
10,71,32
10,72,42
10,73,52
10,74,62
10,75,72
10,76,82
10,77,92
10,78,102
10,79,112
10,80,9
10,81,19
10,82,29
10,83,39
10,84,49
10,85,59
10,86,69
10,87,79
10,88,89
10,89,99
10,90,109
10,91,6
10,92,16
10,93,26
10,94,36
10,95,46
10,96,56
10,97,66
10,98,76
10,99,86
10,100,96
10,101,106
10,102,3
10,103,13
10,104,23
10,105,33
10,106,43
10,107,53
10,108,63
10,109,73
10,110,83
10,111,93
10,112,103
11,0,0
11,1,11
11,2,22
11,3,33
11,4,44
11,5,55
11,6,66
11,7,77
11,8,88
11,9,99
11,10,110
11,11,8
11,12,19
11,13,30
11,14,41
11,15,52
11,16,63
11,17,74
11,18,85
11,19,96
11,20,107
11,21,5
11,22,16
11,23,27
11,24,38
11,25,49
11,26,60
11,27,71
11,28,82
11,29,93
11,30,104
11,31,2
11,32,13
11,33,24
11,34,35
11,35,46
11,36,57
11,37,68
11,38,79
11,39,90
11,40,101
11,41,112
11,42,10
11,43,21
11,44,32
11,45,43
11,46,54
11,47,65
11,48,76
11,49,87
11,50,98
11,51,109
11,52,7
11,53,18
11,54,29
11,55,40
11,56,51
11,57,62
11,58,73
11,59,84
11,60,95
11,61,106
11,62,4
11,63,15
11,64,26
11,65,37
11,66,48
11,67,59
11,68,70
11,69,81
11,70,92
11,71,103
11,72,1
11,73,12
11,74,23
11,75,34
11,76,45
11,77,56
11,78,67
11,79,78
11,80,89
11,81,100
11,82,111
11,83,9
11,84,20
11,85,31
11,86,42
11,87,53
11,88,64
11,89,75
11,90,86
11,91,97
11,92,108
11,93,6
11,94,17
11,95,28
11,96,39
11,97,50
11,98,61
11,99,72
11,100,83
11,101,94
11,102,105
11,103,3
11,104,14
11,105,25
11,106,36
11,107,47
11,108,58
11,109,69
11,110,80
11,111,91
11,112,102
12,0,0
12,1,12
12,2,24
12,3,36
12,4,48
12,5,60
12,6,72
12,7,84
12,8,96
12,9,108
12,10,7
12,11,19
12,12,31
12,13,43
12,14,55
12,15,67
12,16,79
12,17,91
12,18,103
12,19,2
12,20,14
12,21,26
12,22,38
12,23,50
12,24,62
12,25,74
12,26,86
12,27,98
12,28,110
12,29,9
12,30,21
12,31,33
12,32,45
12,33,57
12,34,69
12,35,81
12,36,93
12,37,105
12,38,4
12,39,16
12,40,28
12,41,40
12,42,52
12,43,64
12,44,76
12,45,88
12,46,100
12,47,112
12,48,11
12,49,23
12,50,35
12,51,47
12,52,59
12,53,71
12,54,83
12,55,95
12,56,107
12,57,6
12,58,18
12,59,30
12,60,42
12,61,54
12,62,66
12,63,78
12,64,90
12,65,102
12,66,1
12,67,13
12,68,25
12,69,37
12,70,49
12,71,61
12,72,73
12,73,85
12,74,97
12,75,109
12,76,8
12,77,20
12,78,32
12,79,44
12,80,56
12,81,68
12,82,80
12,83,92
12,84,104
12,85,3
12,86,15
12,87,27
12,88,39
12,89,51
12,90,63
12,91,75
12,92,87
12,93,99
12,94,111
12,95,10
12,96,22
12,97,34
12,98,46
12,99,58
12,100,70
12,101,82
12,102,94
12,103,106
12,104,5
12,105,17
12,106,29
12,107,41
12,108,53
12,109,65
12,110,77
12,111,89
12,112,101
13,0,0
13,1,13
13,2,26
13,3,39
13,4,52
13,5,65
13,6,78
13,7,91
13,8,104
13,9,4
13,10,17
13,11,30
13,12,43
13,13,56
13,14,69
13,15,82
13,16,95
13,17,108
13,18,8
13,19,21
13,20,34
13,21,47
13,22,60
13,23,73
13,24,86
13,25,99
13,26,112
13,27,12
13,28,25
13,29,38
13,30,51
13,31,64
13,32,77
13,33,90
13,34,103
13,35,3
13,36,16
13,37,29
13,38,42
13,39,55
13,40,68
13,41,81
13,42,94
13,43,107
13,44,7
13,45,20
13,46,33
13,47,46
13,48,59
13,49,72
13,50,85
13,51,98
13,52,111
13,53,11
13,54,24
13,55,37
13,56,50
13,57,63
13,58,76
13,59,89
13,60,102
13,61,2
13,62,15
13,63,28
13,64,41
13,65,54
13,66,67
13,67,80
13,68,93
13,69,106
13,70,6
13,71,19
13,72,32
13,73,45
13,74,58
13,75,71
13,76,84
13,77,97
13,78,110
13,79,10
13,80,23
13,81,36
13,82,49
13,83,62
13,84,75
13,85,88
13,86,101
13,87,1
13,88,14
13,89,27
13,90,40
13,91,53
13,92,66
13,93,79
13,94,92
13,95,105
13,96,5
13,97,18
13,98,31
13,99,44
13,100,57
13,101,70
13,102,83
13,103,96
13,104,109
13,105,9
13,106,22
13,107,35
13,108,48
13,109,61
13,110,74
13,111,87
13,112,100
14,0,0
14,1,14
14,2,28
14,3,42
14,4,56
14,5,70
14,6,84
14,7,98
14,8,112
14,9,13
14,10,27
14,11,41
14,12,55
14,13,69
14,14,83
14,15,97
14,16,111
14,17,12
14,18,26
14,19,40
14,20,54
14,21,68
14,22,82
14,23,96
14,24,110
14,25,11
14,26,25
14,27,39
14,28,53
14,29,67
14,30,81
14,31,95
14,32,109
14,33,10
14,34,24
14,35,38
14,36,52
14,37,66
14,38,80
14,39,94
14,40,108
14,41,9
14,42,23
14,43,37
14,44,51
14,45,65
14,46,79
14,47,93
14,48,107
14,49,8
14,50,22
14,51,36
14,52,50
14,53,64
14,54,78
14,55,92
14,56,106
14,57,7
14,58,21
14,59,35
14,60,49
14,61,63
14,62,77
14,63,91
14,64,105
14,65,6
14,66,20
14,67,34
14,68,48
14,69,62
14,70,76
14,71,90
14,72,104
14,73,5
14,74,19
14,75,33
14,76,47
14,77,61
14,78,75
14,79,89
14,80,103
14,81,4
14,82,18
14,83,32
14,84,46
14,85,60
14,86,74
14,87,88
14,88,102
14,89,3
14,90,17
14,91,31
14,92,45
14,93,59
14,94,73
14,95,87
14,96,101
14,97,2
14,98,16
14,99,30
14,100,44
14,101,58
14,102,72
14,103,86
14,104,100
14,105,1
14,106,15
14,107,29
14,108,43
14,109,57
14,110,71
14,111,85
14,112,99
15,0,0
15,1,15
15,2,30
15,3,45
15,4,60
15,5,75
15,6,90
15,7,105
15,8,7
15,9,22
15,10,37
15,11,52
15,12,67
15,13,82
15,14,97
15,15,112
15,16,14
15,17,29
15,18,44
15,19,59
15,20,74
15,21,89
15,22,104
15,23,6
15,24,21
15,25,36
15,26,51
15,27,66
15,28,81
15,29,96
15,30,111
15,31,13
15,32,28
15,33,43
15,34,58
15,35,73
15,36,88
15,37,103
15,38,5
15,39,20
15,40,35
15,41,50
15,42,65
15,43,80
15,44,95
15,45,110
15,46,12
15,47,27
15,48,42
15,49,57
15,50,72
15,51,87
15,52,102
15,53,4
15,54,19
15,55,34
15,56,49
15,57,64
15,58,79
15,59,94
15,60,109
15,61,11
15,62,26
15,63,41
15,64,56
15,65,71
15,66,86
15,67,101
15,68,3
15,69,18
15,70,33
15,71,48
15,72,63
15,73,78
15,74,93
15,75,108
15,76,10
15,77,25
15,78,40
15,79,55
15,80,70
15,81,85
15,82,100
15,83,2
15,84,17
15,85,32
15,86,47
15,87,62
15,88,77
15,89,92
15,90,107
15,91,9
15,92,24
15,93,39
15,94,54
15,95,69
15,96,84
15,97,99
15,98,1
15,99,16
15,100,31
15,101,46
15,102,61
15,103,76
15,104,91
15,105,106
15,106,8
15,107,23
15,108,38
15,109,53
15,110,68
15,111,83
15,112,98
16,0,0
16,1,16
16,2,32
16,3,48
16,4,64
16,5,80
16,6,96
16,7,112
16,8,15
16,9,31
16,10,47
16,11,63
16,12,79
16,13,95
16,14,111
16,15,14
16,16,30
16,17,46
16,18,62
16,19,78
16,20,94
16,21,110
16,22,13
16,23,29
16,24,45
16,25,61
16,26,77
16,27,93
16,28,109
16,29,12
16,30,28
16,31,44
16,32,60
16,33,76
16,34,92
16,35,108
16,36,11
16,37,27
16,38,43
16,39,59
16,40,75
16,41,91
16,42,107
16,43,10
16,44,26
16,45,42
16,46,58
16,47,74
16,48,90
16,49,106
16,50,9
16,51,25
16,52,41
16,53,57
16,54,73
16,55,89
16,56,105
16,57,8
16,58,24
16,59,40
16,60,56
16,61,72
16,62,88
16,63,104
16,64,7
16,65,23
16,66,39
16,67,55
16,68,71
16,69,87
16,70,103
16,71,6
16,72,22
16,73,38
16,74,54
16,75,70
16,76,86
16,77,102
16,78,5
16,79,21
16,80,37
16,81,53
16,82,69
16,83,85
16,84,101
16,85,4
16,86,20
16,87,36
16,88,52
16,89,68
16,90,84
16,91,100
16,92,3
16,93,19
16,94,35
16,95,51
16,96,67
16,97,83
16,98,99
16,99,2
16,100,18
16,101,34
16,102,50
16,103,66
16,104,82
16,105,98
16,106,1
16,107,17
16,108,33
16,109,49
16,110,65
16,111,81
16,112,97
17,0,0
17,1,17
17,2,34
17,3,51
17,4,68
17,5,85
17,6,102
17,7,6
17,8,23
17,9,40
17,10,57
17,11,74
17,12,91
17,13,108
17,14,12
17,15,29
17,16,46
17,17,63
17,18,80
17,19,97
17,20,1
17,21,18
17,22,35
17,23,52
17,24,69
17,25,86
17,26,103
17,27,7
17,28,24
17,29,41
17,30,58
17,31,75
17,32,92
17,33,109
17,34,13
17,35,30
17,36,47
17,37,64
17,38,81
17,39,98
17,40,2
17,41,19
17,42,36
17,43,53
17,44,70
17,45,87
17,46,104
17,47,8
17,48,25
17,49,42
17,50,59
17,51,76
17,52,93
17,53,110
17,54,14
17,55,31
17,56,48
17,57,65
17,58,82
17,59,99
17,60,3
17,61,20
17,62,37
17,63,54
17,64,71
17,65,88
17,66,105
17,67,9
17,68,26
17,69,43
17,70,60
17,71,77
17,72,94
17,73,111
17,74,15
17,75,32
17,76,49
17,77,66
17,78,83
17,79,100
17,80,4
17,81,21
17,82,38
17,83,55
17,84,72
17,85,89
17,86,106
17,87,10
17,88,27
17,89,44
17,90,61
17,91,78
17,92,95
17,93,112
17,94,16
17,95,33
17,96,50
17,97,67
17,98,84
17,99,101
17,100,5
17,101,22
17,102,39
17,103,56
17,104,73
17,105,90
17,106,107
17,107,11
17,108,28
17,109,45
17,110,62
17,111,79
17,112,96
18,0,0
18,1,18
18,2,36
18,3,54
18,4,72
18,5,90
18,6,108
18,7,13
18,8,31
18,9,49
18,10,67
18,11,85
18,12,103
18,13,8
18,14,26
18,15,44
18,16,62
18,17,80
18,18,98
18,19,3
18,20,21
18,21,39
18,22,57
18,23,75
18,24,93
18,25,111
18,26,16
18,27,34
18,28,52
18,29,70
18,30,88
18,31,106
18,32,11
18,33,29
18,34,47
18,35,65
18,36,83
18,37,101
18,38,6
18,39,24
18,40,42
18,41,60
18,42,78
18,43,96
18,44,1
18,45,19
18,46,37
18,47,55
18,48,73
18,49,91
18,50,109
18,51,14
18,52,32
18,53,50
18,54,68
18,55,86
18,56,104
18,57,9
18,58,27
18,59,45
18,60,63
18,61,81
18,62,99
18,63,4
18,64,22
18,65,40
18,66,58
18,67,76
18,68,94
18,69,112
18,70,17
18,71,35
18,72,53
18,73,71
18,74,89
18,75,107
18,76,12
18,77,30
18,78,48
18,79,66
18,80,84
18,81,102
18,82,7
18,83,25
18,84,43
18,85,61
18,86,79
18,87,97
18,88,2
18,89,20
18,90,38
18,91,56
18,92,74
18,93,92
18,94,110
18,95,15
18,96,33
18,97,51
18,98,69
18,99,87
18,100,105
18,101,10
18,102,28
18,103,46
18,104,64
18,105,82
18,106,100
18,107,5
18,108,23
18,109,41
18,110,59
18,111,77
18,112,95
19,0,0
19,1,19
19,2,38
19,3,57
19,4,76
19,5,95
19,6,1
19,7,20
19,8,39
19,9,58
19,10,77
19,11,96
19,12,2
19,13,21
19,14,40
19,15,59
19,16,78
19,17,97
19,18,3
19,19,22
19,20,41
19,21,60
19,22,79
19,23,98
19,24,4
19,25,23
19,26,42
19,27,61
19,28,80
19,29,99
19,30,5
19,31,24
19,32,43
19,33,62
19,34,81
19,35,100
19,36,6
19,37,25
19,38,44
19,39,63
19,40,82
19,41,101
19,42,7
19,43,26
19,44,45
19,45,64
19,46,83
19,47,102
19,48,8
19,49,27
19,50,46
19,51,65
19,52,84
19,53,103
19,54,9
19,55,28
19,56,47
19,57,66
19,58,85
19,59,104
19,60,10
19,61,29
19,62,48
19,63,67
19,64,86
19,65,105
19,66,11
19,67,30
19,68,49
19,69,68
19,70,87
19,71,106
19,72,12
19,73,31
19,74,50
19,75,69
19,76,88
19,77,107
19,78,13
19,79,32
19,80,51
19,81,70
19,82,89
19,83,108
19,84,14
19,85,33
19,86,52
19,87,71
19,88,90
19,89,109
19,90,15
19,91,34
19,92,53
19,93,72
19,94,91
19,95,110
19,96,16
19,97,35
19,98,54
19,99,73
19,100,92
19,101,111
19,102,17
19,103,36
19,104,55
19,105,74
19,106,93
19,107,112
19,108,18
19,109,37
19,110,56
19,111,75
19,112,94
20,0,0
20,1,20
20,2,40
20,3,60
20,4,80
20,5,100
20,6,7
20,7,27
20,8,47
20,9,67
20,10,87
20,11,107
20,12,14
20,13,34
20,14,54
20,15,74
20,16,94
20,17,1
20,18,21
20,19,41
20,20,61
20,21,81
20,22,101
20,23,8
20,24,28
20,25,48
20,26,68
20,27,88
20,28,108
20,29,15
20,30,35
20,31,55
20,32,75
20,33,95
20,34,2
20,35,22
20,36,42
20,37,62
20,38,82
20,39,102
20,40,9
20,41,29
20,42,49
20,43,69
20,44,89
20,45,109
20,46,16
20,47,36
20,48,56
20,49,76
20,50,96
20,51,3
20,52,23
20,53,43
20,54,63
20,55,83
20,56,103
20,57,10
20,58,30
20,59,50
20,60,70
20,61,90
20,62,110
20,63,17
20,64,37
20,65,57
20,66,77
20,67,97
20,68,4
20,69,24
20,70,44
